Number,Logic,Beta,,,,,,,
1,0.894416052,0.788385844,,,,,,,
2,0.875251615,0.489147754,,,,,,,
3,0.630840177,0.936172046,,,,,,,
11,0.773217472,0.798956039,,,,,,,
19,0.708674311,0.953,,,,,,,
27,0.711197241,0.836321155,,,,,,,
37,0.699924599,0.869749784,,,,,,,
38,0.708100019,0.893894406,,,,,,,
39,0.503911059,0.642900743,,,,,,,
40,0.63429956,0.896346544,,,,,,,
71,0.532479415,0.436180132,,,,,,,
72,0.847403072,0.991592987,,,,,,,
79,0.997756171,0.987859378,,,,,,,
89,0.939325933,0.861435427,,,,,,,
97,0.827428327,0.892293602,,,,,,,
101,0.871273706,0.992000287,,,,,,,
103,0.676684938,0.992183283,,,,,,,
110,0.725861957,0.956865353,,,,,,,
116,0.290137709,0.658663289,,,,,,,
117,0.26716445,0.686150185,,,,,,,
118,0.22214146,0.671001101,,,,,,,
128,0.848293377,0.870633118,,,,,,,
129,0.771082943,0.901511158,,,,,,,
130,0.727787235,0.873484905,,,,,,,
131,0.843459575,0.868671295,,,,,,,
132,0.657561888,0.870846162,,,,,,,
133,0.705882353,0.668715365,,,,,,,
134,0.582509967,0.796422212,,,,,,,
135,0.554035315,0.728494015,,,,,,,
136,0.492086436,0.632705123,,,,,,,
137,0.876262941,0.486095585,,,,,,,
138,0.89306429,0.746114402,,,,,,,
139,0.899614077,0.600047496,,,,,,,
140,0.750757459,0.750604825,,,,,,,
141,0.768425461,0.166969476,,,,,,,
142,0.67904012,0.032395608,,,,,,,
143,0.47217649,0.160500856,,,,,,,
144,0.61892182,0.269838976,,,,,,,
20,0.845968402,0.857,,,,,,,
28,0.96387952,0.966939574,,,,,,,
44,0.758272606,0.733940988,,,,,,,
69,0.431051109,-0.766160461,,,,,,,
70,0.691562038,0.976111773,,,,,,,
83,0.888979592,0.940956945,,,,,,,
91,0.873102069,0.818338596,,,,,,,
102,0.840569149,0.719180151,,,,,,,
106,0.992812067,0.998332524,,,,,,,
