-/-,aTc/-,-/OC6,+/+
-0.0132817,0.46208731,0.50627292,1.3158771
-0.0096874,0.79167726,0.52188597,1.58184324
0.00138356,0.74365637,0.69121863,0.88415154
-0.0150681,0.75194035,0.53738545,1.12696032
-0.0053827,0.72654046,0.72106006,0.99309395
-0.0112525,0.67189592,0.823911,1.34769152
-0.0019668,0.70498347,0.7870028,0.81806534
-0.0023834,0.42579431,0.85116842,0.99113398
0.00948079,0.7995001,0.83108011,0.9936118
0.00026314,0.71898589,0.54151815,1.12413607
-0.0037768,0.74107912,0.6405368,0.8692269
-0.0010986,0.66618575,0.64970848,0.87305836
0.00362663,0.67724962,0.68825648,1.05150349
-0.0038247,0.70830929,0.69555628,0.74176147
-0.0055097,0.73957679,0.6426628,1.21991046
-0.000572,0.6585034,0.62048304,0.91338184
-0.0051614,0.75829673,0.86413772,1.10519821
-0.0066769,0.68070667,0.70830499,0.98026732
0.00131323,0.71195393,0.57973189,1.01430901
0.0082001,0.86714678,0.5744076,1.24733571
-0.0036503,0.8337362,0.65763155,0.90243141
-0.0077214,0.77983693,0.66486605,0.79389101
-0.0107027,0.72730849,0.69549827,0.9522329
-0.0098064,0.65084538,0.69957882,0.92221984
-0.0074608,0.59700724,0.68434785,0.89201499
0.00010607,0.59669416,0.80246817,0.81615529
0.00025069,0.69719857,0.80877105,0.95930009
0.00389619,0.91693341,0.67145226,0.85823946
0.00875726,0.54025806,0.5740559,1.32629235
-0.002482,0.69184359,0.6593319,0.90024617
-0.0056539,0.90605683,0.82448764,0.90058389
-0.0054385,0.70665632,0.73785473,0.85712804
-0.0054521,0.67991182,0.74232488,0.97242653
-0.0085216,0.67395795,0.69184893,0.88289914
-0.0026564,0.74726084,0.49681149,0.99797827
-0.0019371,0.67570167,0.71960278,0.96594946
-0.0030329,0.6425788,0.58916981,1.15559346
0.00902396,0.76901594,0.61444409,1.21535307
0.00254317,0.95151297,0.69363998,0.99481153
-0.0056929,0.88060554,0.725785,1.01132438
0.0008572,0.76107315,0.67938521,1.06489111
-0.0012053,0.73583275,0.95795599,1.04184808
-0.0080886,0.78711328,0.71824765,0.8834052
-0.0025043,0.71205199,0.63783007,0.88220573
0.01387542,0.81625804,0.85322304,0.91871461
