-/-,aTc/-,-/OC6,+/+
0.00045979,0.60903799,0.96432527,1.17821737
0.00044017,0.54619883,1.45352491,0.97459037
0.00171632,0.61842727,1.37801272,0.9550522
0.00165004,0.56499655,0.85198837,0.78498814
-0.000343,0.5444229,1.21545004,0.83799856
-0.00001017,0.56082169,1.08155098,1.03831335
0.00407654,0.5892025,1.00740747,1.02243135
0.0082359,0.45278613,1.04586821,0.82377548
-0.0032303,0.50056116,1.28066835,1.21716456
-0.0013077,0.39883991,0.76399629,0.57288485
0.00940108,0.62382365,1.23281165,0.82240783
0.00842516,0.47788446,1.08364544,0.74145076
0.00972081,0.49793738,1.029558,0.77737347
0.0049533,0.49248706,0.83705561,0.79726874
-0.0008181,0.58281889,1.01932961,0.85682718
-0.0028487,0.55584348,1.01441471,0.8114808
0.0098752,0.52868528,1.01631841,0.98372131
-0.0003749,0.52367349,1.23051612,1.14157215
-0.0043351,0.55131442,1.2194879,1.10351773
-0.0003684,0.49421366,1.13179598,1.06830769
0.00035383,0.55177734,1.24254709,0.95342
0.00215125,0.54735178,1.09029931,1.08170439
-0.0051592,0.53691621,1.04349527,1.033675
-0.0031945,0.54256115,0.91990288,0.8085672
0.00046979,0.45282277,1.22083618,0.78490607
-0.00351,0.55792801,1.10080698,0.83237213
-0.002197,0.63916203,1.10175076,1.13505361
0.00290586,0.52797648,1.11525677,1.21181586
0.00099176,0.60207621,1.20277734,1.04574343
-0.0010248,0.61610148,1.11311169,0.91374905
-0.0032316,0.52532281,1.07743444,1.18349746
-0.0061134,0.63419708,1.06138505,0.72991516
-0.0093913,0.72433739,1.33574266,0.85174554
-0.0057613,0.73866698,0.87997181,1.01700109
0.00469665,0.61936393,1.23327443,1.12637696
0.0064109,0.63650258,1.07203625,1.16661949
-0.0064972,0.47407527,1.29598932,1.04969699
-0.0075397,0.6369351,1.33609016,1.1158965
-0.007008,0.645973,1.01359847,0.63255902
0.10099527,0.58816899,1.04621479,1.03666256
-0.0045375,0.64169965,1.38722567,0.76853637
0.0024585,0.65917032,1.11184824,0.78015874
0.00226926,0.65670176,1.30170573,0.94688093
0.00850065,0.51021474,1.35480696,0.92286573
0.01734236,0.59089459,1.33574177,1.12202488
