"Condition","n","isSingular","estimate","conf.low","conf.high","adj.p.value"
"OR",3,FALSE,0.429861180972432,0.300983318408416,0.558739043536448,6.26418916738203e-11
"OR",5,TRUE,0.443329216629901,0.376587222071144,0.510071211188659,4.28683755160364e-11
"OR",30,TRUE,0.443436054683253,0.416401415859847,0.470470693506658,0
"NOR",3,TRUE,0.403541776012596,0.286781114074748,0.520302437950444,1.64164934924882e-05
"NOR",5,FALSE,0.419901271945017,0.375090460760691,0.464712083129342,0
"NOR",30,TRUE,0.470206702065072,0.451237020279578,0.489176383850567,0
"AND",3,TRUE,0.492706972003038,0.438238972135905,0.547174971870171,1.98972316400869e-09
"AND",5,TRUE,0.43092497417873,0.373711676396265,0.488138271961195,5.25113286187207e-12
"AND",30,TRUE,0.439264040223505,0.421696178621925,0.456831901825084,0
"NAND",3,TRUE,0.440102641802969,0.347367027726471,0.532838255879467,9.50631903862131e-07
"NAND",5,TRUE,0.490220586252536,0.438055703535912,0.54238546896916,1.20348175869367e-13
"NAND",30,FALSE,0.454149456551346,0.427022906225002,0.48127600687769,0
"XOR",3,TRUE,0.392097969874054,0.333867884071199,0.450328055676909,3.48870594635287e-08
"XOR",5,FALSE,0.490543250834748,0.425445201448009,0.555641300221487,0
"XOR",30,TRUE,0.449271949410737,0.428338185135346,0.470205713686127,0
"XNOR",3,FALSE,0.455458927701852,0.328791521623035,0.582126333780669,1.82209802801481e-12
"XNOR",5,TRUE,0.455897246598837,0.422701398891711,0.489093094305963,1.11022302462516e-16
"XNOR",30,FALSE,0.430419211518386,0.376902850927115,0.483935572109657,0
"IMPLY",3,FALSE,0.41992317630948,0.335677794413042,0.504168558205918,0
"IMPLY",5,TRUE,0.483568751514062,0.422428288575961,0.544709214452164,2.29860575018392e-12
"IMPLY",30,FALSE,0.44772818025816,0.410407825566838,0.485048534949482,0
"NIMPLY",3,TRUE,0.464599324180445,0.416081113808825,0.513117534552064,1.13941622803537e-09
"NIMPLY",5,TRUE,0.428686528725754,0.388821133440144,0.468551924011363,1.15463194561016e-14
"NIMPLY",30,TRUE,0.467766974212365,0.450116042089327,0.485417906335403,0
"OR1",3,FALSE,0.499854738178265,0.390535727028429,0.609173749328101,0
"OR1",5,FALSE,0.422719842341083,0.36190699157863,0.483532693103537,0
"OR1",30,FALSE,0.448394892974243,0.415933985801148,0.480855800147339,0
