"","Results","on","group"
"1",0.824883576925135,1,"1"
"2",0.896408942954425,1,"1"
"3",0.70791353573247,1,"1"
"4",0.803054435444519,1,"1"
"5",0.699023383419625,1,"1"
"6",0.750255097989008,1,"2"
"7",0.7642623931732,1,"2"
"8",0.819968756960971,1,"2"
"9",0.826296642578608,1,"2"
"10",0.747194383716966,1,"2"
"11",0.787568500542764,1,"3"
"12",0.707187282503365,1,"3"
"13",0.786117929200248,1,"3"
"14",0.75371336297988,1,"3"
"15",0.7842480356752,1,"3"
"16",0.266051635620067,0,"4"
"17",0.274305374700259,0,"4"
"18",0.306438977771306,0,"4"
"19",0.313401821786966,0,"4"
"20",0.274731345457516,0,"4"
