"","Results","on","group"
"1",0.265903289838266,0,"1"
"2",0.29863704369217,0,"1"
"3",0.268222585536315,0,"1"
"4",0.255210455466889,0,"1"
"5",0.300827229865869,0,"1"
"6",0.813315855703194,1,"2"
"7",0.829642241654458,1,"2"
"8",0.777885419952447,1,"2"
"9",0.827913652338793,1,"2"
"10",0.770898510721175,1,"2"
"11",0.903796417278944,1,"3"
"12",0.601732863665357,1,"3"
"13",0.735160925402029,1,"3"
"14",0.769939278593528,1,"3"
"15",0.677835926521101,1,"3"
"16",0.290853263738178,0,"4"
"17",0.314142525138788,0,"4"
"18",0.256212810903526,0,"4"
"19",0.263569894982565,0,"4"
"20",0.289109484320969,0,"4"
