"","Results","on","group"
"1",0.253024275453127,0,"1"
"2",0.289363843316859,0,"1"
"3",0.334280424240087,0,"1"
"4",0.289913121872697,0,"1"
"5",0.314239951191489,0,"1"
"6",0.71458771038303,1,"2"
"7",0.754996469965004,1,"2"
"8",0.619300015178142,1,"2"
"9",0.745871721226878,1,"2"
"10",0.723159119775458,1,"2"
"11",0.300743650583476,0,"3"
"12",0.252200112054677,0,"3"
"13",0.278196273311684,0,"3"
"14",0.275209205092739,0,"3"
"15",0.300089746204136,0,"3"
"16",0.263449010127009,0,"4"
"17",0.212588123978712,0,"4"
"18",0.302339637430828,0,"4"
"19",0.272039964596384,0,"4"
"20",0.305769839245326,0,"4"
